,0
848,keywords: point polygon lines:    simon crowe writes:  i looking algorithm determine point bound  polygon anyone code reference book containing information   well since discussed take liberty reprinting without permission sue me eric haines reprint interesting discussion topic                  /jonas                           /         \ ------------------------- x snip snip x ------------------------------                          \         /  give man fish he'll eat day give man fishing rod he'll laze around fishing never anything  mind reprint without permission sue me relevant information posted year ago problem  note early postscript technology predating many year's paper listed april siggraph program announcement posted day ago  -- eric   intersection line polygon undecidable dave baraff tom duff  newsgroups: compgraphics keywords: p np jordan curve separation ursyhon metrization theorem  article []  timothy lyle smith writes:    need find formula/algorithm determine line intersects   polygon  prefer method little   time possible  need forward raytracing   program  think difficult problem  start with polygon semi-algebraic set contain uncountable number point  off-the-cuff idea  first need check line polygon separated  now jordan curve separation theorem say polygon divide plane exactly two open and thus non-compact region  thus line lie completely inside polygon line lie completely outside polygon possibly but rarely happen line intersects polyon  now phrasing question say if line intersects polygon decision problem  possibility the decision model approach reduce question well known problem q try solve q  answer q give answer original decision problem  recent year many geometric problem successfully modeled new language called postscript  see postscript language adobe system incorporated isbn # --- co   so line l polygon p write postscript program draw line l polygon p output answer  output program executes command called showpage actually print page paper containing line polygon  quick examination paper provides answer reduced problem q thus original problem  two small problem approach    infinite number way encode l p reduced problem q  so forced invoke axiom choice or equivalently zorn's lemma  axiom choice regarded serious light day   importantly question arises whether postscript program q actually output piece paper; word halt  now postscript expressive enough encode everything turing machine might do; thus halting problem for postscript undecidable  quite possible original problem turn undecidable   even begin go difficulty aliasing finite precision running ink paper both  couple reference might be:   principia mathematica  newton i  cambridge university press cambridge    england  sorry isbn# this   introduction automaton theory language computation  hopcroft j    ulman j   c programming language kernighan b ritchie d   tale two city dickens c  --------  summary: overkill  situation nearly bleak baraff suggests he better he's hung around lab long enough  well known dobbin-dullman reduction see j dullman & d dobbin j comp obfusc ii:  pp - lemma a line-polygon intersection reduced hamiltonian circuit without grobner base lpi to coin acronym probably np-complete  besides turing-completeness longer problem cray- delivered since able complete infinite loop  millisecond with scatter-gather  --------   well sure worse np-complete that's restrict case line satisfies lipschitz condition second derivative  i think there's ' siggraph paper caltech deal this  -- ------------------------------------------------------------------------------  j n   n g v n          email:  dept electrical engineering        voice:  +--           university linkoping sweden         fax  :  +-- 
849,article-id: mksolapr lines:     dave jones writes:  keith mancus  wrote:   bruce dunn writes:   si neatly separate concept mass force weight   gotten horribly tangled u system      problem english unit  pound defined  unit force period  perfectly good unit called  slug mass object weighing  lb sea level  g   ft/sec^ course    american military english unit perhaps  u real english type  taught pound mass poundal force being force cause  pound accelerate  fts-  rare olde tyme  our exam unit metric well  american perhaps nothing military it  learned mostly slug talked english unit high school physic teacher ex-navy fighter jock book certainly produced military  [poundals flinking small made math funny; sort reason proponent si give using that]   --  insisting perfect safety people ball live  real world   -- mary shafer nasa ames dryden ------------------------------------------------------------------------------  - speak others speak me 
850,lines:     bertil jonell writes:  in article   kutluk ozguven writes: atheist mentioned quran quranic point view minute's reasoning see thing    people atheist atheist what they  quran us din mean individual thinking behaving communal order protocol based set belief often interpreted much weaker term religion   atheist mentioned quran along jew mushriqin christian etc  latter din din need set belief assumption etc forma social code example marxist those history conflict etc put idol sometimes did represent assuptions  different mushriq roughly polytheist   cannot social atheism community community need common idea standard belief coordinate  society inscribe assumption nation progress  natural consequence human activity parlamentarian democracy doubtlessly best government however  individually insist god quranic point view do therefore definition atheism exist  we atheist society fact mean we reject din ours   atheism exist people reject idols/gods/dogmas/ suppositions/ society part case personal deviation belief quran tell deviation disbelief mentioned quranic point looking thing atheism macro level   think took minute  kutluk 
851,lines:   article   rob strom writes:    in article   benedikt rosenau writes:  i time read rest posting i respond this  i absolutely messianic jew    another mistake sorry read altmessianic carefully    benedikt 
852,lines:  keywords: jpl    joe  description sound like  gravity probe  spacecraft idea  pat 
853,lines:    brian west writes: [ deleted ] a similar analogy made glass  know glass liquid go ask science teacher flow [ deleted ]    science teacher tell glass liquid try get different science teacher b^  glass supercooled fluid liquid except high temperature  definition liquid includes readily take form container  let's try accurate here  people think we're creationists we     uucp:  uunettektronixsailmikec                   mcranford          uunettektronixsaillabstekcommikec         principal troll   arpa:  mikec%            resident skeptic   csnet:                          teklabs tektronix  
854,reply-to:  lines:    henry spencer writes:   first flight low hover demonstrate vertical  landing  payload  dc-x never carry kind  exactly hover test done tv network carry it  really see that  -- john lussmyer  mystery spot bb royal oak mi ----------------------------------------------  
855,distribution: u lines:   looking source orbital element set uaf/space command  believe compuserve  possible source reach  them  much 
856,lines:    thyagi morgoth nagasiva writes:   this organization known present time ancient  order oriental templar  ordo templi orientis  otherwise:  hermetic brotherhood light   organization official e-mail address day an address sf bay area lodge eg thelema do                                                                               alizard  ------------------------------------------------------------------- alizard internet addresses: alizard%tweekco%        preferred pacbellcombootweekcoalizard bang path above  backup pgp public key available request 
857,lines:     posting john cormack wanted slight difference  speedstar  speedstar x   /stefan 
858,lines:   deal life mar  save face heard  associated theory which sound thin me  back mar face agian anyone buy life theory  --  schiewer    internet       onward great inland steel    uucp:     uucppaainlandschiewer   stream 
859,lines:   curious check many san jose mercury news mentioned tyre - here's outcome research condenced version copyright san jose mercury news:  ---   bombing two largest city southern lebanon killed  people  wounded  others car bomb blew tyre killing  people wounding   man killed five others seriously wounded explosion  nabatiye ---   israeli navy patrol boat attacked sank rubber guerrilla boat  southern lebanon early today killing two men aboard army command  said         said communique dvora patrol boat opened fire  motorized rubber dinghy north tyre identifying hostile army  said israeli boat injured affiliation slain  guerrilla immediately known ---   rival faction guerrilla group led terrorist mastermind abu nidal  battled sunday tyre lebanon machine gun rocket-propelled  grenade killing least four people wounding  police said ---  lebanon's mainstream shiite muslim militia said thursday  uncovered network tunnel southern lebanese village said pro- iranian kidnapper held western hostage         official militia amal led local journalist catacomb- like alley showed two cell iron door village  kawthariyet al siyad near tyre ancient port city  mile south  beirut         official said certain u marine lt col william r  higgins detained shortly seized gunman road  outside tyre february  -------------- anyway counted  article  year reporting also found possible reason number inhabitant city defined   seems tyre place people libanon flee extensive bombing there's constant flow refugee entering leaving tyre article mentioned thousand people entering leaving place  counted  article home town kristinestad consider place fishing village :-  cheer kent  ---  alink: ksand -- private activity net 
860,lines:  reply-to:  james k black   hi          friend working -d -d object recognition looking reference describing algorithm following areas:  thresholding edge segmentation marr-hildreth sobel operator chain code thinning - skeletonising  anybody willing post algorithm implemented demonstrates topic much appreciated  post reply e-mail address requested post summary newsgroup couple week   advance reply  james  
861,lines:      evidence  indicates gamma ray burster far away  enormous  power  wondering  quantum  black hole something  like  fairly close by   galactic range     pet theory  flying saucer  entering hyperspace :-  reason asking everyone assumes   colliding nuetron star   spinning black hole  wondered mechanism could exist  place  closer in  pat    
862,lines:   article   until king become philosopher philosopher become king writes:         recently ra ordered and none resisted cared it apparently post religious flyer entitled the soul scroll: thought on religion spirituality matter soul inside bathroom stall door at school university new hampshire sort of newsletter assembled hall director somewhere campus [most post deleted]    respond soon possible i'd like religious posting stop now      thanks    dana                   easy out post flyer stall door add bottom nice large capital        emergency toilet paper  :  --  ------              robert mellish fog ic uk                  ------  email:    net:     irc:  hobnob ------     also mr joyful prize rafia work         ------ 
863,x-newsreader: rusnews v lines:    mark mccullough writes:  think circular recursive semantics  recursiveness problem horribly inefficient just ask  assembly programmer  tail-recursive function scheme least efficient iterative loop  anyone program assembler heard optimizing compiler   mathew 
864,lines:      hello      anyone c c++ function library public domain  assist parsing autocad dxf file        e-mail                                   thanks  --                               -- jogle                                  
865,lines:   article   stephen wrote:  tional many direct benefit able   keep thing perspective k    hurt -- one died loved one   left besides lesson also time many grieve  including who've lost faith others god    i'm learning patient thing heal god willing  christian age learn patient think time face reality event last  two day showed world really like  kent ---  alink: ksand -- private activity net 
866,lines:   article   scott d sauyet writes: in   writes:   chimpanzee fight war land    chimp almost human    keith  could be  last message mr schneider more three day old  are final word  and many find appropriate  final got way     no christian leary atheist spokesman   seems clandestine that removed    course keith busy explaining fellow captive   really persecuted since after all are   feeding him resistance part viewed   trouble making      understand bit fuss tatooed in god   trust forehead though  /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\   bob beauchaine    said queen could stay blew bronx away sank manhattan sea  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ 
867,lines:    writes:  second problem: can't find graphic program open display   these file couple image conversion program none mention scf   file  rix's file extension  sci scf raw file  color palette first  byte kind header name rix among byte unknown stuff  byte palette info  color rgb picture raw format dont viewer description get vpic able read file  regard thomas  
868,lines:  distribution: world  sigkids call participation sigkids research showcase learning hip  pushing edge education computer graphic new technology sigkids research showcase provide siggraph's attendee latest applying computer technology form state art educational experience  hop it  submit work converge discipline education computer technology  possible category domain include limited to:  -interactive/stand-alone application -self-run demonstration tutorial -museum installation -groupware/collaborative system -hypermedia -virtual reality -scientific visualization -interactive art -microworlds  deadlines:  may   submission due     submit to:  diane schwartz siggraph ' sigkids committee c/o institute learning science  maple avenue suite  evanston illinois  fax:	   electronic submission form:   submit:  fill 'permission use' form see page  siggraph ' call participation send email  faxed you   fill sigkids ' research showcase submission form below   send abstract/description submission approximately  word following ways:      a send  hard copy diane schwartz via surface mail        address                         b fax  copy diane schwartz -                                c email  copy diane schwartz    necessary explain project additional support material videotape slide assist selection committee reaching decision highly reccommended   fax email submission acceptable  send submission material form either surface mail email fax exception additional support material sent via surface mail   note: due limited budget submitter chooses dedicated machine work pay rental fee hardware personally  note: contributor outside united state aware custom carrier delay send submission early  cut here           acm siggraph ' sigkids research showcase entry form   copy form must accompany proposal submit  send sigkids research showcase entry to:  diane schwartz siggraph ' sigkids committee c/o institute learning science  maple avenue suite  evanston illinois  fax:	   print legibly  contact information:  name  company  address  city  statepostal codecountry   daytime phoneevening phone  faxemail  additional information:  title theme piece   participants' name  collaborators' name   hardware platform periferals:   needed:       supplied participant:   yes     dedicated machine   yes    note:  due limited budget participant must pay rental fee dedicated hardware  need assistance specify        software      statement - u significance work le  word           medium:  other describe - ie virtual reality virtual sculpture interactive multimedia installation etc       special requirements:  physical description       power      dimension      other      authorization  permission visual audio:  event material used acm siggraph' sigkids research showcase entry contain work individual organization including copyrighted musical composition excerpt thereof understand responsibility secure necessary permission and/or liscenses    yes no  piece contains image audio video component                yes:               yes no  necessary right and/or permission                              image audio video component                              piece  conference presentation release:  signing form grant siggraph' permission consider piece sigkids research showcase  maintain copyright work receive full credit wherever work used  conference promotional material:  grant acm siggraph right slide conference organization publicity future  includes usage poster brochure catalog promotional item medium broadcast exchange siggraph provides full author/artist credit information promotional material  yes no  grant acm siggraph permission slide work               conference organization publicity  signaturedate  acm siggraph make every attempt respect protect intellectual  property right people organization preparing material  siggraph conference entry form explains us siggraph  material requires acknowledge  permission material  may involve seeking clearance  employer others loaned material  videotape slide  form help prevent situation whereby  siggraph' presentation include material without permission  might lead complaint even legal action  form also asks grant siggraph right distribute work maintain copyright  slide set catalog publication grant siggraph nonexclusive worldwide distribution right  siggraph mark item publication proper copyright notice informs viewer item may copied reproduced broadcast used commercial purpose without explicit permission indivicual copyright owner  addition form asks  acm siggraph may  material conference credit information 
869,lines:   article   layne cook writes:  talk commercial space race ie $g first -year   moon base intriguing similar prize influenced aerospace   development before $k orteig prize helped lindbergh sell spirit   saint louis venture financial backer  strongly suspect saint louis backer foresight   realize much stake $  could work moon far-sighted financial backer   today    commercial us transportation system already-settled- and-civilized area obvious  spaceflight position correct analogy aviation ''s long transocean voyage age discovery  require gov't fund long something known potential profit destination  practice gov't funded private wise investor spend large amount money risky investment idea possible payoff   sure thriving spaceflight industry eventually develop large number people live work off-earth  ask specific justification increased resource base can't give them  enough  launch rate demanded existing space industry low bring cost much much dark revolutionary new space industry be practical much invested start them etc  --   keith mancus                                 nwvr                                     black powder alcohol state city fall             back's wall -leslie fish                   
870,lines:    writes:  other idea old space craft navigation beacon such why not put safe pause mode activated signal space craft manned act naviagtion beacon take directional plot on  wierd what  michael adam  -- i'm high jacked  whole constellation custom built navigation beacon satellite process phased right now transit/oscar satellite replaced gps thinking deep space navigation best done doppler/vlbi/ stellar measurement think additional radio beacon help much -- dave stephenson geological survey canada ottawa ontario canada internet:  
871,lines:   article   matthew deluca writes:   greedy little oil company  blame them; oil company supply  demand created you me everyone else planet   run out fault   ok creation oil producing bacteria  figure eat shit it comment  will 
872,lines:       help need code/package/whatever take -d data turn wireframe surface hidden removed i'm using do machine code ansi c c++ ansi fortran basic data i'm using form rectangular grid    post reply net others may benefit imho general interest question    thank you 
873,lines:  distribution: world keywords: galileo jpl news-software: vax/vms vnews       forwarded neal ausman galileo mission director                                  galileo                      mission director status report                              post-launch                          april  -    spacecraft    april  real-time command sent planned reacquire celestial reference completion low gain antenna lga- swing/dual drive actuator dda hammer activity    april  ej- earth-jupiter # sequence memory load uplinked spacecraft without incident  sequence cover spacecraft activity antenna rra slew test april    command loss timer set  day part sequence memory load    april   no-op command sent reset command loss timer  hour planned value mission phase    april  cruise science memory readout mros performed extreme ultraviolet spectrometer euv dust detector dd magnetometer mag instrument  preliminary analysis indicates data received properly    april  ultra-stable oscillator uso test performed verify health status uso collect gravitational red shift experiment data; long term trend analysis continuing    april  bps modulation index test performed determine optimal signal-to-noise ratio snr transmitting bps  preliminary analysis data suggests present pre-launch selected modulation index near optimal level    april  cruise science memory readout mros performed extreme ultraviolet spectrometer euv magnetometer mag instrument preliminary analysis indicates data received properly    april  periodic rpm retro-propulsion module -newton thruster flushing maintenance activity performed;  thruster flushed activity  thruster performance throughout activity nominal    ac/dc bus imbalance measurement exhibited significant change greater  dn throughout period  ac measurement read  dn  volt  dc measurement read  dn  volt  measurement consistent model developed ac/dc special anomaly team   spacecraft status april   follows:         a  system power margin -   watt        b  spin configuration - dual-spin        c  spin rate/sensor - rpm/star scanner        d  spacecraft attitude approximately  degree            off-sun lagging  degree off-earth leading        e  downlink telemetry rate/antenna- bpscoded/lga-        f  general thermal control - temperature within            acceptable range        g  rpm tank pressure - within acceptable range        h  orbiter science- instrument powered pws            euv uv epd mag hic dd        i  probe/rrh - powered off temperature within            acceptable range        j  cmd loss timer setting -  hour            time initiation -  hour   gd ground data systems:    galileo participated second dsn deep space network acceptance test dsn telemetry phase  upgrade april   using cta- compatibility test area   purpose test verify flow galileo telemetry data new telemetry group controller tgc telemetry channel assembly tca  tgc/tca replacement current telemetry processing assembly tpa  seven different telemetry rate run test; ran well mt mccc telemetry subsystem ammo mgds v gif exception bps  bps rate trouble staying lock; appears tgc/tca metering data correctly  comparison mgds mt data test conducted mvt mission verification test tgc/tca system expected begin may     trajectory       noon thursday april   galileo spacecraft trajectory status follows:  distance earth          km  au distance sun            km  au heliocentric speed           km per hour distance jupiter        km round trip light time        minute  second   special topic    april   total  real-time command transmitted galileo since launch  these   initiated sequence design process  initiated real-time command process past week  real time command transmitted:  initiated sequence design process initiated real time command process major command activity included command reacquire celestial reference uplink ej- sequence memory load reset command loss timer                    / /  // \  / /     ron baalke                     \ /        jet propulsion lab        /       m/s - telos  cynical never help  /     /     / / pasadena ca   correct situation  /  /       /                      cause aggravation                                                    instead 
874,keywords: mrowl many lick lines:    ------------------------------------- + the otis project '  +       + the operative term stimulate +  ------------------------------------- ---this file last updated-----   otis  otis purpose distributing original artwork photograph network public perusal scrutiny     distribution  digital immortality  basic idea behind digital immortality computer network    stay anything interesting deposit around near-forever  gifs jpgs today artifact digital future  perhaps they'll put different format perhaps surviving backup tapesbut they'll thereand someone dig up     interest you otis also offer forum critique exhibition worksa virtual art gallery never close exists information dimension submission hang wallpaper thousand glowing monitor  suddenly life  breathed workand merit stimulus  travel globe pulse light electron   spectator welcome also feel free browse gallery  artist think effort  keep copy image got gumption that's they're for  ---------------------------------------------------------------  where               otis currently a // two ftp site       projects/otis uwi site  sunsiteuncedu /pub/multimedia/pictures/otis sunsite  you also gopher site otis well  merely anonymous ftp either site internet change appropriate directory  forget get busy bin command sure binary  otis also spreading dial-up bb system around north americathe following system substancial supply otistuff underground cafe omaha   cyberden sanfran   usenet waffle-iron  --------------------------------------------------------------   contribute                happens isyou draw pretty picture take lovely    photo get scanned image file either ftp-put contrib/incoming directory uuencode send email address eof email  image received put correct directory  computer originated work also welcome  otis' directory house two type image file gif jpg   gif jpg file require oddly enough gif jpg viewer  see  viewer available type computer  large ftp site around internet  jpg viewer bit tougher find  can't find one gif viewer   obtain jpg-to-gif conversion program change     jpg file standard gif format   otis also accepts animation file        submit image file send email time stating information uploaded whether used in publication project merely people view  also include biographical information yourself we'll info-files contributing artist work   also upload text-file info instead  emailing  picture scanner hope  merely send copy to:  otis project c/o ed stastny po bx  omaha ne -  either scan get someone   scan them  include ample sase stuff back   also include information image preferably - line  description image include infofile directory finally put  preference image named include well     conversely scanner like help out contact we'll arrange thing  submit work disk peachy  merely send  disk address omaha sase disk back good people direct access encoders ftp access scanner  accept disk either mac ibm compatible format  possible submit image file gif jpg  can'twe convert formatswe'd rather to  sender request also fill disk much otis stand  even stuff contribute send blank disk sase or $ disk postage packing  get slab-o-otis  // we're  megabyte file growing   email current archive size directory  --------------------------------------------------------------------  distribution  image distributed otis project may distributed freely    condition original filename kept altered save convert image format another  fact encourage file distributed local  bulletin board such  could transport appropriate text file along image     also nice send note post image participant idea widespread stuff is  purpose otis get image spread much possible  time upload favorite bb systemor even post info-file there  keen you  --------------------------------------------------------------------  use  work find otis directory check see permission granted  stipulation permission such free copy publication full address credit  either find rm file     image series imagesor artist directory  artist name  permission explicitly given  contact artist ask it  info available email  i'll get contact artist  you give contact information   permitted work always courteous artist it perhaps even send free copy compensation file  ---------------------------------------------------------------------  naming image  keep name file do format  mean keep filename before jpg gif eight character le  usually initial artist plus three four digit code series image plus series number thus leonardo devinci's fifth mechanical drawing something like:   ldmekgif        ldmekjpg       ldmechgif   etc  keeping name  character assures filename remain intact system     ----------------------------------------------------------------------   creating image file  creating image file sure least include name somewhere picture  give people reference case they'd like contact you  may also include title address information like people know  -----------------------------------------------------------------------  hmmm  that's now  guideline added needed input expected  -----------------------------------------------------------------------  disclaimer:  otis project connection church otis         a sumerian deity follower pope priest      ezine administrator  take sacrifice donation      however  -----------------------------------------------------------------------  disclaimer:  otis project distribution original        image file  file go public large        possible form mass-media someone      could unscrupulously image financial gain            unless permission that illegal  otis      take responsibility this  simple term right      revert author/artist  leave image otis       give permission viewed copied distributed       electronically  image distributed           all-over upload them  leave image otis      giving permission used publication      broadcast incurs profit this includes       limited to magazine newsletter clip-art software              screen-printed clothing etc  must give specific      permission sort usage    -----------------------------------------------------------------------  remember operative term stimulate  people that'd interested sort thingget involvedkick'm bootyoffer free foodwhatever  e            -- ed stastny            otis project process sound news art  po bx       ftp: sunsiteuncedu /pub/multimedia/pictures/otis omaha ne -        projects/otis ---------------------- email:   
875,lines:   key issue  line post following dealt following post made talkabortion yesterday modified correct next last paragraph  message-id:   references:       deankaflowitz writes:  in article   peter nyikos writes:    john bates writes:    in article   peter nyikos writes:   perhaps  of dedication conviction never never thought  would consciously intellectually dishonest though    not  show anything lead think   otherwise  see spreading christianity thread say ignore certain statement specifically acknowledged  dean not  called the great commission descriptive jesus's word matt :  matt : jerusalem bible translation:  and anyone welcome listen say walk house town shake dust  matt ::   i solemnly day judgment   go hard land sodom gomorrah   town  post dean referring above said:   good description kaflowitz keep harping   shaking dust foot ignoring christ said next    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^                                ^^^^  highlighted word refer matt : : respectively  dean countered:  actually comment your's perfect example intellectually dishonest little sparrowfart are since specifically acknowledged great commission entreaty spread word  fact combination two statement addressing one characterize ignoring instruction spread good example dishonest little fellow are  course matt : [quoted above] make mention instruction spread word  quote btw from:  message-id:   in which end claim answer question which answered deleted to get chronology right deleted answer said answer  claim correctly question went:  do you too measure goodness post entertainment value care whit mundane thing truth falsehood  closest dean came answer was:  peter peter peter  stupid pretentious dull generally unworthy value place sport is  course answer question post general post particular  surely even dean know this yet brazenly asserts otherwise reinforcing claim insult:  so restore answer question deleted  still unable figure out ask nice kid local junior high help you  really take much sophistication understand  top which doubt answer representative dean's true frame mind  insult seen quoted thus far small sample stream ooze dean's  mind throughout -line post quote taken wonder whether dean's mind warped find sport this  even dredge falsified account event transpired earlier another thread:  you made as claiming ^^^^^^^^^^^^^^^ tradition lent public announcement ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ sin individual ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  false  said tradition recall atone one's sin made public announcement sin others --sins btw matter public record documented post others-- different matter  many individual involved nearly amoral see sin morally upright people see sin pointed out  expressly set whole thread turn people point sin me  dean again:  you made as saying statement tradition tzedukkah somehow attempt paint jew plaster saint thereby revealing inability understand discussion well showing dislike people saying positive thing jew show intellectual dishonesty repeatedly ignoring simple argument made claiming ignoring argument acknowledge  actually happened dean made seem like jew gave alms act charity public hypocrite according jewish custom  so caricaturing jewish custom almost impossibly demanding well implicitly slandering jew public act charity  went easily dean this giving benefit doubt post following initial crack plaster saint  suggesting merely careless wording  astonishing act ingratitude dean serf incredibly distorted picture took place u using basis insult another  peter nyikos     
876,lines:  in-reply-to: 's message thu   :: gmt   sketch:  rotate cylinder axis  z axis  intersect x/y projection line projected cylinder similar to easier than sphere intersection  result: intersection intersection two intersection parameterized along line t t  z compute intersection line top bottom plane cylinder  give t' t'  interval intersection bit line [tt] intersect [t't']  detail left exercise reader  s -- spencer w thomas   info tech networking b cfob     genome informatician	  univ michigan ann arbor mi    -- fax -- 
877,lines:    recently read article local paper written islamic   person upset islam portrayed western medium   terrorist action take place middle east always played   islamic terrorist  however serbian terrorist attack   croations christian terrorist terrorist often tried explain close friend believe   press islam somehow tied violence  often time hear   thing like they value human life like do on   wondering anyone suggestion   change image help friend see    hype  appreciate serious suggestion comment via e-mail   i'm interested hearing right press is  -scott vann  
878,lines:   afraid can't give info this hoping someone greter netland detail  short story newspaper day ago made sort mention japanese using sounded like gravity assist managed crash or crash-land package moon  article vague unclear  and matter worse clip it  jog anyone's memory      
879,lines:   article   thomas e deweese writes:   hello discussed before  time i need teselate sphere  kind soul code or alg finally decided upon best a recall wa nice iterative subdivision meathod  appreciative  andrew graphic gem glassner got collegue mine  think fiddled little bit deal whatever bizarre problem working time known work  spl        - - - - / sphere     asg      feb      spl thu mar   :: est  / #include stdioh #include mathh  #define pi   struct pointstruct {         double x y z; };  static double radius; static double xorg; static double yorg; static double zorg;  dosphere r freq x y z     double r;   int freq;   double x;   double y;   double z;    {      int pole;     double northy southy poley;     double rtheta rtheta ntheta ntheta magicangle;     double theta thetastart thisy den t;     struct pointnode pnp;     struct pointstruct p p p p n n n n pt;      radius  r;     xorg  x;     yorg  y;     zorg  z;  / north pole /      magicangle  pi/;     northy  radiussinmagicangle;     southy  -radiussinmagicangle;     pole; pole; pole++ {        pole {          poleyradius;            thisynorthy;          thetastart;         }       else {           poley -radius;          thisysouthy;          thetastart;         }        theta  thetastart; theta  ; theta +   {          rtheta  thetapi/;         rtheta  theta+pi/;         px  ;           py  poley;           pz  ;           px  radiuscosrtheta;         py  thisy;         pz  radiussinrtheta;         px  radiuscosrtheta;         py  thisy;         pz  radiussinrtheta;          pole {  / ring go normal right /            ptx  px;             pty  py;             ptz  pz;             px  px;             py  py;             pz  pz;             px  ptx;             py  pty;             pz  ptz;            }          den  pxpx+pypy+pzpz;           den  sqrtden;          den   {             radius / den;            px  t;             py  t;             pz  t;          }          den  pxpx+pypy+pzpz;           den  sqrtden;          den   {             radius / den;            px  t;             py  t;             pz  t;          }          den  pxpx+pypy+pzpz;           den  sqrtden;          den   {             radius / den;            px  t;             py  t;             pz  t;          }          subdividetri&p&p&pfreq;        }      }  / body /      theta; theta; theta +  {        rtheta  thetapi/;         rtheta  theta+pi/;       ntheta  theta+pi/;        ntheta  theta+pi/;       px  radiuscosrtheta;          py  northy;         pz  radiussinrtheta;       px  radiuscosrtheta;         py  northy;         pz  radiussinrtheta;       px  radiuscosntheta;          py  southy;         pz  radiussinntheta;       px  radiuscosntheta;         py  southy;         pz  radiussinntheta;        den  pxpx+pypy+pzpz;         den  sqrtden;        den   {           radius / den;          px  t;           py  t;           pz  t;        }        den  pxpx+pypy+pzpz;         den  sqrtden;        den   {           radius / den;          px  t;           py  t;           pz  t;        }       den  pxpx+pypy+pzpz;         den  sqrtden;       den   {           radius / den;          px  t;           py  t;           pz  t;        }       den  pxpx+pypy+pzpz;         den  sqrtden;       den   {           radius / den;          px  t;           py  t;           pz  t;        }        subdividetri&p&p&pfreq;       subdividetri&p&p&pfreq;      }      return;    }  #define normptv { register double r  sqrt   v -x   v -x  + \                                                  v -y   v -y  + \                                                  v -z   v -z  ; \                       v -x / r; \                       v -y / r; \                       v -z / r; \                     }  subdividetripppa    struct pointstruct p p p;   int a;    {      struct pointstruct n n n;     struct pointstruct p p p;     double den t;      a {        px  p-x+p-x/;       py  p-y+p-y/;       pz  p-z+p-z/;       den  pxpx+pypy+pzpz;         den  sqrtden;       den   {           radius / den;         px  t;           py  t;           pz  t;        }       px  p-x+p-x/;       py  p-y+p-y/;       pz  p-z+p-z/;       den  pxpx+pypy+pzpz;        den  sqrtden;       den   {           radius / den;         px  t;           py  t;           pz  t;        }       px  p-x+p-x/;       py  p-y+p-y/;       pz  p-z+p-z/;       den  pxpx+pypy+pzpz;         den  sqrtden;       den   {           radius / den;         px  t;           py  t;           pz  t;        }       subdividetrip  &p&pa-;       subdividetri&p p &pa-;       subdividetri&p&p p a-;       subdividetri&p&p&pa-;      } else {        nx  p-x;         ny  p-y;         nz  p-z;         normpt&n;       nx  p-x;         ny  p-y;         nz  p-z;         normpt&n;       nx  p-x;         ny  p-y;         nz  p-z;         normpt&n;  / nothing special poly /        printf %f %f %f  %f %f %f\n p-x + xorg                                       p-y + yorg                                       p-z + zorg                                       nx ny nz ;       printf %f %f %f  %f %f %f\n p-x + xorg                                       p-y + yorg                                       p-z + zorg                                       nx ny nz ;       printf %f %f %f  %f %f %f\n p-x + xorg                                       p-y + yorg                                       p-z + zorg                                       nx ny nz ;      }      return;    } --  steve lamont sciviguy --  - --  san diego microscopy imaging resource/uc san diego/la jolla ca - my car car too                  - bumper strip seen i- 
880,lines:   article   zhenghao yeh writes:  doe anybody delaunay triangulation is is reference it  is useful creating -d object yes what's advantage  used create tin triangulated irregular network basically bunch triangle form surface group point  special triangle formed  equalateral possible  check proceeding autocarto n n   sorry specific reference describing process -michael    
881,keywords: stupid programming lines:    bryan k williams writes:  re: majority user readding floppy well u -picture cd-rom like cview fast work well can't moron lacked the foresight create temp file program's path current didrectory     actually flexible create temp file check temp tmp environment variable create file drive directory pointedto variable  pretty much standard do window os/ application   --  opinion bearing person -----------------------------------------------------------------------------          -           sale technology inc 
882,lines:    twelve imam considered incapable error  sin khomeini support view twelve imans  heresy reason gave above   happy discus  issue  imam you although preference move discussion another newsgroup  feel philosophy religion group appropriate topic deeply embedded world view islam esoteric teaching prophet sa heresy enter except see islam exoteric religion nominally if all concerned metaphysical substance man's nature  good introductory book in fact best introductory book islam general murtaza mutahhari's fundamental's islamic thought - god man universe - mizan press translated r campbell truly beautiful book follow-up book if find decent translation wilaya - station master author think also go title master mastership - small book - really transcription lecture author introduction beautiful psalm islam - translated william c chittick available muhammadi trust great britain also excellent introduction subject book university library - imagine well stocked university library them  seek shi'ite thought knowledgeable  shi'ite author well - least much respect due charge heresy levelled  salaam a-laikum 
